,S.No,Quiz_id,User id,Username,Question Number,Questions,Answer,correct_or_not,cosine_similarity,difficulty_level,Start_time,End_time
10,11,284,17,Drimitha R V,1,How many swaps does the selection sort algorithm make per pass compared to bubble sort?,"Selection sort makes exactly one swap per pass, while bubble sort can make multiple swaps per pass. This difference in the number of swaps is a key distinction between the two algorithms.",1,0.939,remember,2026-04-01T11:47:59.000,2026-04-01T11:48:37.000
11,12,284,17,Drimitha R V,2,What is the worst-case time complexity of the linear search algorithm?,"The worst-case time complexity of the linear search algorithm is O(n), or linear time, where n is the number of elements in the list. 

This occurs in scenarios where the algorithm must check every single element in the list: 

The target element is located at the very end of the list.
The target element is not present in the list at all. 

In either situation, the algorithm makes a maximum of n comparisons, meaning the runtime increases linearly with the size of the input data.  ",1,0.924,remember,2026-04-01T11:48:37.000,2026-04-01T11:50:08.000
12,13,284,17,Drimitha R V,3,"Explain how insertion sort maintains the invariant of having a sorted portion and an unsorted portion, and describe why this approach can be efficient for certain types of input data.","Insertion sort maintains a sorted portion of the array, gradually building it up by iteratively inserting elements from the unsorted portion into their correct place. This approach is efficient for certain inputs, particularly small or nearly sorted data.",1,0.855,understand,2026-04-01T11:50:08.000,2026-04-01T11:51:22.000
13,14,284,17,Drimitha R V,4,Explain why operating systems separate services into user-helpful and system-efficiency categories and provide examples of how these categories serve different purposes.,"Operating systems separate services into user-helpful and system-efficiency categories to balance ease-of-use with optimal hardware performance. User-helpful services focus on convenience and interaction (e.g., GUI, file management), while system-efficiency services focus on resource management and performance (e.g., memory allocation, CPU scheduling), ensuring the system remains responsive, secure, and fast for all users",1,0.859,understand,2026-04-01T11:51:22.000,2026-04-01T11:51:48.000
14,15,284,17,Drimitha R V,5,Assess the pedagogical value of teaching an O(n) Map implementation when students have access to O(1) dictionary implementations. Evaluate whether this approach effectively prepares students for real-world programming or creates misconceptions about appropriate data structure choices.,"Teaching an O(n) Map implementation has significant pedagogical value in a computer science curriculum, as it builds foundational understanding of how data structures work internally. This approach does not create misconceptions; rather, it effectively prepares students for real-world programming by providing a critical appreciation for the performance and complexity trade-offs of the highly optimized O(1) dictionary implementations they use in practice.",0,0.566,evaluate,2026-04-01T11:51:48.000,2026-04-01T11:52:25.000
15,16,285,36,sowmya,1,How does the Shortest-Job-First (SJF) scheduling algorithm determine which process to run next?,"The Shortest-Job-First (SJF) scheduling algorithm selects the process with the smallest, next CPU burst time to execute next, minimizing average waiting time. It evaluates all waiting processes and picks the one requiring the least execution time, either preemptively (switching if a shorter job arrives) or non-preemptively. 
Key Aspects of SJF Process Selection:
Decision Mechanism: When the CPU becomes free, the scheduler selects the process from the ready queue that has the smallest predicted or actual CPU burst time.
Non-Preemptive SJF: Once a process gets the CPU, it holds it until the completion of its burst time. If new, shorter processes arrive, they wait until the current one finishes.
Preemptive SJF (Shortest-Remaining-Time-First): If a new process arrives with a CPU burst time less than the remaining time of the current running process, the scheduler preempts (pauses) the current process and switches to the new, shorter one.
Determining Burst Time: Since future CPU burst lengths are unknown, systems often use an exponential average of previous burst times to predict the next length, using the formula: 
Ideal Usage: It is optimal for minimizing waiting time but is often used in batch systems where job lengths are known beforehand.",0,0.639,remember,2026-04-01T11:53:02.000,2026-04-01T11:53:57.000
16,17,285,36,sowmya,2,Analyze how Darwin's hybrid approach solves the performance limitations of traditional microkernels while maintaining their benefits.,"Darwin’s hybrid approach, centered on the XNU kernel (X is Not Unix), solves the performance limitations of traditional microkernels by incorporating key Operating System (OS) services directly into the kernel address space, while retaining microkernel-like modularity through the use of Mach primitives and object-oriented drivers. By blending Mach (a microkernel) with BSD (a monolithic Unix OS) and I/O Kit, Apple’s Darwin achieves the performance required for consumer applications while maintaining high stability. 1. Solving Traditional Microkernel Performance Limitations Traditional microkernels (e.g., Minix) suffer from low performance due to high Inter-Process Communication (IPC) overhead—too many context switches between user-level servers (file system, network, drivers) and the kernel. Darwin addresses this in several ways: In-Kernel BSD Integration: Instead of running the entire BSD layer as a user-level server (a pure microkernel approach), Darwin places the BSD kernel inside the same kernel address space as the Mach microkernel. Result: System calls (e.g., file I/O, networking) are direct function calls, eliminating the expensive message-passing overhead that slows down traditional microkernels. Performance-Optimized Drivers (I/O Kit): While microkernels often move all drivers to user space (causing performance bottlenecks), Darwin uses I/O Kit, an object-oriented framework. Result: Performance-critical drivers (e.g., GPU, high-speed storage) run in kernel space, while less critical drivers can run in user space, balancing speed with stability. Shared Memory and Direct Messaging: Darwin uses Mach messaging for asynchronous, out-of-band communication, and leverages shared memory for fast data sharing, avoiding full message serialization. 2. Maintaining Microkernel Benefits Despite acting like a monolithic system, Darwin retains",1,0.888,analyze,2026-04-01T11:53:58.000,2026-04-01T11:54:45.000
17,18,285,36,sowmya,3,What is a sparse matrix and how is it formally defined?,"A sparse matrix is a matrix where the vast majority of elements are zero, typically used in computing to save memory and processing time by storing only non-zero entries. Formally, a matrix 
 of size 

 is sparse if the number of non-zero elements is much smaller than the total number of elements (

). 
Formal Definition and Characteristics
Definition: A matrix is considered sparse if the number of zero-valued elements is greater than the number of non-zero elements.
Sparsity Measure: A common, though not strict, threshold is that a matrix is sparse if its sparsity (number of zeros divided by total elements) is greater than 0.5.
Condition: A matrix 
 is sparse if:
",1,0.875,remember,2026-04-01T11:54:45.000,2026-04-01T11:55:23.000
18,19,285,36,sowmya,4,Explain the purpose of pre-computing and storing factor values in the MultiArray implementation and describe how these factors optimize element access performance.,"Pre-computing and storing factor values (often strides or multipliers) in a MultiArray implementation eliminates repeated, expensive runtime multiplications needed to map multi-dimensional indices (




) to a linear memory address. By pre-calculating these values, element access is optimized from 



 calculations to

 constant-time lookups, significantly enhancing performance. 
Purpose of Pre-computing Factors
Linearization Mapping: Multidimensional arrays are stored in linear, contiguous memory (Row Major or Column Major). Accessing an element at 
 requires translating this into a 1D address: .
Constant-Time Calculation: Instead of calculating 
 every time an element is accessed, the products or ""factors"" (strides) are computed once during array initialization or shape calculation.
Reducing Complexity: It transforms complex, recursive arithmetic into basic additions and single-step multiplication. 
How Factors Optimize Access Performance
Reduced CPU Cycles: Pre-calculated strides enable direct address calculation for any index in a single step, reducing the number of CPU cycles per element access.
Cache Friendliness: By organizing multi-dimensional data contiguously in memory and utilizing pre-computed strides, the system enhances cache positioning, allowing for faster memory access.
Improved Efficiency in Large Arrays: For scientific applications involving large datasets or 3D/4D arrays (e.g., in FFT, simulations), pre-computation allows for rapid traversal and manipulation of complex structures",0,0.785,understand,2026-04-01T11:55:23.000,2026-04-01T11:56:10.000
19,20,285,36,sowmya,5,What two special methods must an iterator class in Python contain?,"An iterator class in Python must contain two special methods: __iter__ and __next__. 
__iter__(): This method returns the iterator object itself. It allows an object to be iterated over [1]. If a class has this method, it means the object can be used with a for loop.
__next__(): This method is responsible for returning the next item from the container [1]. When there are no more items to return, it must raise the StopIteration exception [1]. The built-in next() function calls this method. 
By implementing both of these methods, a class adheres to the iterator protocol in Python [1]. ",1,0.882,remember,2026-04-01T11:56:11.000,2026-04-01T11:56:29.000
20,21,286,18,keerthi,1,"Explain the relationship between algorithms, programming, and computer science. How do they differ and connect to each other?","**Computer Science** is the broad field that studies how computers work, what problems they can solve, and how efficiently they can do so, while an **Algorithm** is a step-by-step logical method designed to solve a specific problem, independent of any programming language. Programming, on the other hand, is the practical process of implementing these algorithms using languages such as Python or Java so that a computer can execute them. In essence, computer science provides the theoretical foundation, algorithms provide the structured solution, and programming turns that solution into working code; together, they form a complete cycle where each depends on and supports the others.
",1,0.888,understand,2026-04-01T13:53:09.000,2026-04-01T13:54:14.000
21,22,286,18,keerthi,2,Evaluate the trade-offs between low-level socket programming and high-level RPC frameworks for distributed application development. Assess which approach better serves modern development needs and justify your recommendation.,"When building distributed applications, developers often choose between low-level socket programming and high-level RPC frameworks such as gRPC or Apache Thrift, each offering distinct trade-offs in control, complexity, and productivity.

Low-level socket programming (using raw TCP/UDP) gives maximum control over communication, allowing fine-tuned handling of data transmission, protocols, and performance optimizations. This can be beneficial for systems with strict latency requirements or custom networking needs. However, it comes with significant drawbacks: developers must manually handle serialization, error recovery, retries, security, and scalability concerns. This increases development time, introduces more room for bugs, and makes maintaining large systems difficult.",0,0.712,evaluate,2026-04-01T13:54:14.000,2026-04-01T13:54:41.000
22,23,287,23,yazhini,1,What is an operating system?,"An operating system (OS) is the main software that controls a computer and acts as a link between the user and the hardware. It manages resources like memory, processes, files, and devices, and allows users to run applications easily. Examples include Windows, Linux, and Android.",1,0.929,remember,2026-04-01T13:54:16.000,2026-04-01T14:04:53.000
23,24,287,23,yazhini,2,"Create a comprehensive testing framework called 'ArrayValidator' that automatically generates test cases for any Array-based ADT. Design it to test edge cases, performance characteristics, and correctness invariants. Include at least 10 different test categories.","ArrayValidator is a testing framework designed to automatically check any array-based ADT for correctness, performance, and edge cases. It generates different types of test cases such as empty arrays, single elements, large arrays, boundary index checks, duplicate values, sorted and random data, invalid inputs, and sequences of operations. The framework runs these tests, verifies results using rules (invariants), and measures performance like execution time. Finally, it produces a report showing whether the array implementation is reliable and efficient.
",0,0.586,create,2026-04-01T14:04:53.000,2026-04-01T14:05:55.000
24,25,287,23,yazhini,3,State the mathematical formula for computing factor values in multi-dimensional array index calculation.,"The factor value in a multi-dimensional array is calculated as the product of the sizes of all dimensions that come after it. Mathematically, for the k-th dimension:

𝐹
𝑘
=
𝐷
𝑘
+
1
×
𝐷
𝑘
+
2
×
⋯
×
𝐷
𝑛
F
k
	​

=D
k+1
	​

×D
k+2
	​

×⋯×D
n
	​


These factor values are then used to compute the address as:

Address
=
Base
+
(
∑
𝑖
𝑘
⋅
𝐹
𝑘
)
×
𝑤
Address=Base+(∑i
k
	​

⋅F
k
	​

)×w

In simple terms, each index is multiplied by its factor, and all are added to find the final memory location.",0,0.65,remember,2026-04-01T14:05:55.000,2026-04-01T14:06:40.000
25,26,287,23,yazhini,4,Evaluate the decision to use binary search versus linear search for a library catalog system where 80% of operations are searches and 20% are adding new books. Justify your recommendation considering both performance and implementation complexity.,"For a library catalog where 80% of operations are searches and only 20% are insertions, using binary search is generally the better choice—but with an important condition.

Binary search is much faster for searching, taking O(log n) time compared to O(n) for linear search. Since searching is the dominant operation, this significantly improves overall performance, especially as the catalog grows large. However, binary search requires the array to remain sorted, which makes insertion more costly (O(n) time) because elements may need to be shifted to maintain order.

On the other hand, linear search is simple to implement and allows easy insertion (O(1) if added at the end), but searching becomes slow as data increases, which is not ideal given the high search frequency.

Recommendation: Use binary search with a sorted array, because the system is search-heavy. The slight complexity and cost of maintaining order during insertion are justified by the much faster search performance.",1,0.89,evaluate,2026-04-01T14:06:40.000,2026-04-01T14:07:26.000
26,27,286,18,keerthi,3,Explain the concept of privileged instructions and describe how the hardware enforces this protection mechanism.,"A Privileged Instruction is a type of CPU instruction that can only be executed by the operating system (in kernel mode) and not by ordinary user programs. These instructions perform sensitive operations such as modifying memory management settings, controlling I/O devices, or changing processor states. Restricting access to them prevents user applications from interfering with system stability or security.",1,0.917,understand,2026-04-01T13:54:41.000,2026-04-01T14:07:50.000
27,28,286,18,keerthi,4,Apply process scheduling concepts to design a simple round-robin scheduler simulation that manages three processes with different CPU burst times and shows the execution timeline.,"Round-Robin Scheduling Concept
Round-robin (RR) scheduling is a preemptive scheduling algorithm.
Each process gets a fixed time quantum (e.g., 4 units of time) to execute.
If the process doesn't finish within its quantum, it goes to the back of the ready queue.
This ensures fair CPU allocation among processes.",0,0.468,apply,2026-04-01T14:07:51.000,2026-04-01T14:08:13.000
28,29,287,23,yazhini,5,Apply message passing concepts to implement a mailbox-based system where multiple worker processes can receive tasks from a task dispatcher through a shared mailbox.,"In a mailbox-based message passing system, a task dispatcher sends tasks to a shared mailbox (queue), and multiple worker processes receive tasks from it. The dispatcher puts tasks into the mailbox using a send operation, and workers take tasks using a receive operation. The mailbox ensures that each task is handled by one worker, usually in order. To avoid conflicts when multiple workers access the mailbox, synchronization methods like locks or semaphores are used. This approach allows efficient and organized communication between processes.",0,0.606,apply,2026-04-01T14:07:26.000,2026-04-01T14:08:15.000
29,30,286,18,keerthi,5,Analyze how the StudentFileReader ADT design demonstrates the principle of separating interface from implementation. What are the benefits and potential limitations of this approach?,"The StudentFileReader ADT (Abstract Data Type) illustrates the principle of separating interface from implementation by defining a set of operations that client code can use—such as openFile(), readStudent(), and closeFile()—without exposing the underlying details of how the file is stored, parsed, or iterated. The interface specifies what operations are available and what they do, while the implementation handles how these operations are performed internally (e.g., using buffered I/O, file pointers, or error-handling strategies). This separation allows users of the ADT to focus on using the functionality without needing to understand or modify its inner workings.",0,0.572,analyze,2026-04-01T14:08:13.000,2026-04-01T14:08:37.000
30,31,288,24,kanthriya,1,What is a sparse matrix and how is it formally defined?,"A sparse matrix is a matrix in which most of the elements are zero. Formally, a matrix of size 
𝑚
×
𝑛
m×n is called sparse if the number of non-zero elements is much less than 
𝑚
×
𝑛
m×n, meaning the majority of its entries are zero. Sparse matrices are often stored using special techniques to save memory and improve computation efficiency.
",1,0.897,remember,2026-04-01T14:13:40.000,2026-04-01T14:14:17.000
31,32,288,24,kanthriya,2,"Apply SJF scheduling to processes P1 (burst: 12ms), P2 (burst: 4ms), P3 (burst: 8ms), P4 (burst: 6ms). What is the execution order and average waiting time?","Using SJF scheduling:

Processes and bursts: P1=12, P2=4, P3=8, P4=6
Execution order: P2 → P4 → P3 → P1
Waiting times: P2=0, P4=4, P3=10, P1=18
Average waiting time: (0+4+10+18)/4 = 8 ms",1,0.904,apply,2026-04-01T14:14:17.000,2026-04-01T14:14:52.000
32,33,288,24,kanthriya,3,Summarize the relationship between preconditions and postconditions in ADT operations. How do they contribute to reliable software design?,"In an ADT, preconditions are conditions that must be true before an operation is performed, while postconditions are conditions that the operation guarantees after it completes. Together, they define a clear contract: if the preconditions are met, the postconditions will hold. This helps ensure correctness, predictability, and reliability, making software easier to test, maintain, and use without unexpected errors.",1,0.926,understand,2026-04-01T14:14:52.000,2026-04-01T14:15:08.000
33,34,288,24,kanthriya,4,"Explain why programmers typically use APIs instead of making direct system calls, and describe what happens when an API function is called.","Programmers use APIs because they provide a simpler, safer, and portable way to access system functionality without dealing with low-level system calls directly. When an API function is called, it acts as a wrapper: the API translates the call into one or more system calls, handles details like parameter formatting and error checking, and returns the result to the program. This makes programming easier and reduces the risk of errors.
",1,0.869,understand,2026-04-01T14:15:08.000,2026-04-01T14:15:40.000
34,35,288,24,kanthriya,5,What is the producer-consumer problem and what are the two types of buffers used?,"The producer-consumer problem is a classic synchronization problem where a producer generates data and puts it into a buffer, while a consumer takes data from the buffer. The challenge is to ensure that the producer does not add to a full buffer and the consumer does not remove from an empty buffer, avoiding conflicts and data loss.

The two types of buffers used are:

Bounded buffer – has a fixed size, requiring careful synchronization.
Unbounded buffer – can grow as needed, so overflow is not a concern.",1,0.84,remember,2026-04-01T14:15:41.000,2026-04-01T14:16:18.000
35,36,289,13,Miruthula,1,"Design a revolutionary operating system threading model that transcends traditional process/thread boundaries by creating adaptive execution contexts that can dynamically transform between processes, threads, and lightweight tasks based on runtime requirements. Specify the core abstractions, system calls, and scheduling mechanisms.","A revolutionary operating system threading model can be built around a unifying abstraction called an Adaptive Execution Context (AEC), which eliminates the rigid separation between processes, threads, and lightweight tasks by allowing each execution unit to dynamically adjust its isolation level, resource ownership, and execution granularity at runtime. An AEC encapsulates code, state, and resources along three tunable dimensions: isolation (ranging from fully isolated virtual address spaces like processes to shared memory like threads), weight (from lightweight coroutine-style tasks to heavyweight schedulable entities), and capabilities (fine-grained permissions for I/O, memory, and inter-context communication). The system provides a set of core system calls such as aec_create(config) to instantiate a context with an initial profile, aec_transform(aec_id, target_profile) to morph its characteristics dynamically (e.g., promote a task to a process for fault isolation), aec_clone(flags) for controlled duplication, aec_share(resource, policy) to define memory or handle sharing semantics, aec_sync(aec_group, consistency_model) to coordinate execution, and aec_destroy(aec_id) for safe teardown. Scheduling is handled by an adaptive, feedback-driven scheduler that continuously monitors runtime metrics (latency, CPU usage, cache locality, contention, and energy consumption) and uses them to reshape AECs—splitting them into smaller parallel units under high load, merging them to reduce overhead when contention is high, or elevating them to stronger isolation when security or fault containment is needed",0,0.789,create,2026-04-01T14:19:29.000,2026-04-01T14:20:20.000
36,37,289,13,Miruthula,2,"What does the function f(n) indicate in big-O notation, and what is the objective when choosing this function?","In Big-O notation, the function f(n) represents the upper bound on the growth rate of an algorithm’s time or space complexity as the input size n increases, capturing how the algorithm scales rather than its exact running time. It abstracts away constant factors and lower-order terms to focus only on the dominant term that significantly impacts performance for large inputs. The objective when choosing f(n) is to select the simplest function that accurately reflects the worst-case growth behavior of the algorithm, enabling meaningful comparison between different algorithms based on efficiency and scalability, and helping developers understand how well an algorithm will perform as the problem size becomes very large.",0,0.77,remember,2026-04-01T14:20:20.000,2026-04-01T14:21:01.000
37,38,289,13,Miruthula,3,What does SMP stand for and what is its characteristic?,"SMP stands for Symmetric Multiprocessing, a computer architecture in which multiple processors or CPU cores operate together under a single operating system while sharing a common main memory and I/O resources. Its defining characteristic is symmetry, meaning all processors are treated equally with no master–slave relationship, so each processor can execute any task, including running operating system functions, and has uniform access to memory and devices. This allows the operating system to distribute workloads dynamically across processors, enabling true parallel execution, improving performance and responsiveness, and increasing system reliability since the failure of one processor does not necessarily stop the entire system.",1,0.885,remember,2026-04-01T14:21:01.000,2026-04-01T14:21:29.000
38,39,289,13,Miruthula,4,Analyze how Grand Central Dispatch's quality-of-service classification system reflects different user experience priorities. How does this classification enable better system resource allocation?,"Grand Central Dispatch (GCD), implemented through Apple Dispatch Framework, uses a quality-of-service (QoS) classification system to map system scheduling decisions directly to user experience priorities by assigning tasks to categories such as user-interactive, user-initiated, utility, and background, each reflecting how urgently the task impacts what the user sees or feels. High-priority classes like user-interactive are designed for immediate responsiveness, ensuring smooth UI updates and minimal latency, while lower-priority classes like background handle non-urgent work such as maintenance or data synchronization without interfering with the foreground experience. This structured prioritization enables the operating system to allocate resources more intelligently by dynamically adjusting CPU time, thread scheduling, I/O bandwidth, and even energy usage based on the QoS level, so critical tasks preempt less important ones and complete faster. As a result, the system reduces contention, avoids priority inversion, improves battery efficiency by throttling low-priority work, and maintains consistent performance under varying workloads, ultimately delivering a more responsive and efficient user experience.",1,0.816,analyze,2026-04-01T14:21:29.000,2026-04-01T14:22:04.000
